State/UT,Year,Total Population,Rural Population,Urban Population,Total Lit,Lit_rate,Area in km2,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total crime against sc,Total crime against women,Total crimes against ST,Total crime against children,Total crimes,Total crime rate
A& N ISLANDS,2001,356152,239954,116198,253135,81.3,8249,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,658,0,34,1,0,1421,398.9869494
ANDHRA PRADESH,2001,76210007,55401067,20808940,39934323,60.47,275045,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,130089,2933,13669,512,270,296366,388.8806886
ARUNACHAL PRADESH,2001,1097968,870087,227881,484785,54.34,83743,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342,0,180,72,0,5495,500.4699591
ASSAM,2001,26655528,23216288,3439240,14015354,63.25,78438,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877,6,4048,0,18,85490,320.7214654
BIHAR,2001,82998509,74316709,8681800,31109577,47,94163,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432,1303,4489,83,83,195570,235.6307389
CHANDIGARH,2001,900635,92120,808515,643245,81.94,114,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397,3,146,0,58,8604,955.3259645
CHHATTISGARH,2001,20833803,16648056,4185747,11173149,64.66,135191,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,38460,501,3964,486,,87849,421.665694
D & N HAVELI,2001,220490,170027,50463,103904,57.63,491,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350,0,19,6,0,780,353.75754
DAMAN & DIU,2001,158204,100856,57348,107600,78.18,112,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350,0,7,0,0,762,481.6565953
DELHI,2001,13850507,944727,12905780,9664764,81.67,16579,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384,19,2188,0,912,133171,961.488269
GOA,2001,1347668,677091,670577,985562,82.01,3702,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,2341,1,55,0,34,5369,398.3918888
